cond1,cond2,cond3,sms,item,sentence,alternative,overnum,labels_nums,num_words,label_mismatch,verb_num
mklo,hit,exp,0,100,The workmen banged the nails.,x-x-x vocally infancy yeah versa.,1,5,5,0,2
mklo,hit,fill,3,100,The workmen infancy the nails.,,,,,,
mklo,break,exp,0,100,The workmen chipped the tiles.,x-x-x vocally infancy buy macro.,13,5,5,0,2
mklo,break,fill,4,100,The workmen chipped buy tiles.,,,,,,
,,fill,5,100,The chef cooked the rhythm.,,,,,,
mklo,hit,exp,0,101,The king slapped the rebel.,x-x-x else shuttle page adopt.,2,5,5,0,2
mklo,break,exp,0,101,The king crushed the protest.,x-x-x else shuttle vote besides.,14,5,5,0,2
,,fill,3,101,The lifeguard expired the kid.,,,,,,
mklo,hit,exp,0,102,The assistant patted the dough.,x-x-x recommend patchy nice dared.,3,5,5,0,2
mklo,break,exp,0,102,The assistant ripped the script.,x-x-x recommend patchy sale argued.,15,5,5,0,2
,,fill,5,102,The juror ate her music.,,,,,,
mklo,hit,exp,0,103,The maidens caressed my feet.,x-x-x abolish licensure sale thus.,4,5,5,0,2
mklo,break,exp,0,103,The boulders shattered my feet.,x-x-x abolish licensure pre none.,16,5,5,0,2
,,fill,3,103,The coffee lectured my tongue.,,,,,,
mklo,hit,exp,0,104,The boys bit the candy.,x-x-x else acute fund audit.,5,5,5,0,2
mklo,break,exp,0,104,The boys smashed the bottles.,x-x-x else acute kill receipt.,17,5,5,0,2
,,fill,5,104,The squirrel climbed the paperclip.,,,,,,
mklo,hit,exp,0,105,The man beat the oxen.,x-x-x seen coma tell omit.,6,5,5,0,2
mklo,break,exp,0,105,The man tore the tickets.,x-x-x seen coma pre anymore.,18,5,5,0,2
,,fill,5,105,The athlete won a morality.,,,,,,
mklo,hit,exp,0,106,The breeze tickled my neck.,x-x-x expire primetime yes owns.,7,5,5,0,2
mklo,break,exp,0,106,The monk fractured his neck.,x-x-x slid primetime bank zero.,19,5,5,0,2
,,fill,3,106,The television groomed the movie.,,,,,,
mklo,hit,exp,0,107,The teenagers battered the suspects.,x-x-x deodorize ductile pick verified.,8,5,5,0,2
mklo,break,exp,0,107,The teenagers rumpled the sweaters.,x-x-x deodorize ductile sir preclude.,20,5,5,0,2
,,fill,5,107,The policeman caught the continent.,,,,,,
mklo,hit,exp,0,108,The sheriff nudged my elbow.,x-x-x undergo cassava pre vitro.,9,5,5,0,2
mklo,break,exp,0,108,The stones cracked my windshield.,x-x-x priced cassava term commencing.,21,5,5,0,2
,,fill,3,108,The grass smiled my allergies.,,,,,,
mklo,hit,exp,0,109,The jay pecked the treats.,x-x-x hie typhoons glad tapped.,10,5,5,0,2
mklo,break,exp,0,109,The stove scorched the treats.,x-x-x borne typhoons gets denied.,22,5,5,0,2
,,fill,3,109,The cookie waved my stomach. ,,,,,,
mklo,hit,exp,0,110,The warrior kicked my jaw.,x-x-x manning preview okay sans.,11,5,5,0,2
mklo,break,exp,0,110,The warrior snapped my jaw.,x-x-x undergo preview vs gig.,23,5,5,0,2
,,fill,5,110,The mayor emailed the waterfall.,,,,,,
mklo,hit,exp,0,111,The acid stung my eye.,x-x-x warn renown goal glad.,12,5,5,0,2
mklo,break,exp,0,111,The oven thawed my food.,x-x-x warn renown sir none.,24,5,5,0,2
