label,cond1,cond2,cond3,sms,item,sentence,overnum,labels_nums,num_words,label_mismatch,verb_num
mklo_hit_exp_100,mklo,hit,exp,0,100,The workmen banged the nails.,1,5,5,0,2
mklo_break_exp_100,mklo,break,exp,0,100,The workmen chipped the tiles.,13,5,5,0,2
mklo_hit_exp_101,mklo,hit,exp,0,101,The king slapped the rebel.,2,5,5,0,2
mklo_break_exp_101,mklo,break,exp,0,101,The king crushed the protest.,14,5,5,0,2
mklo_hit_exp_102,mklo,hit,exp,0,102,The assistant patted the dough.,3,5,5,0,2
mklo_break_exp_102,mklo,break,exp,0,102,The assistant ripped the script.,15,5,5,0,2
mklo_hit_exp_103,mklo,hit,exp,0,103,The maidens caressed my feet.,4,5,5,0,2
mklo_break_exp_103,mklo,break,exp,0,103,The boulders shattered my feet.,16,5,5,0,2
mklo_hit_exp_104,mklo,hit,exp,0,104,The boys bit the candy.,5,5,5,0,2
mklo_break_exp_104,mklo,break,exp,0,104,The boys smashed the bottles.,17,5,5,0,2
mklo_hit_exp_105,mklo,hit,exp,0,105,The man beat the oxen.,6,5,5,0,2
mklo_break_exp_105,mklo,break,exp,0,105,The man tore the tickets.,18,5,5,0,2
mklo_hit_exp_106,mklo,hit,exp,0,106,The breeze tickled my neck.,7,5,5,0,2
mklo_break_exp_106,mklo,break,exp,0,106,The monk fractured his neck.,19,5,5,0,2
mklo_hit_exp_107,mklo,hit,exp,0,107,The teenagers battered the suspects.,8,5,5,0,2
mklo_break_exp_107,mklo,break,exp,0,107,The teenagers rumpled the sweaters.,20,5,5,0,2
mklo_hit_exp_108,mklo,hit,exp,0,108,The sheriff nudged my elbow.,9,5,5,0,2
mklo_break_exp_108,mklo,break,exp,0,108,The stones cracked my windshield.,21,5,5,0,2
mklo_hit_exp_109,mklo,hit,exp,0,109,The jay pecked the treats.,10,5,5,0,2
mklo_break_exp_109,mklo,break,exp,0,109,The stove scorched the treats.,22,5,5,0,2
mklo_hit_exp_110,mklo,hit,exp,0,110,The warrior kicked my jaw.,11,5,5,0,2
mklo_break_exp_110,mklo,break,exp,0,110,The warrior snapped my jaw.,23,5,5,0,2
mklo_hit_exp_111,mklo,hit,exp,0,111,The acid stung my eye.,12,5,5,0,2
mklo_break_exp_111,mklo,break,exp,0,111,The oven thawed my food.,24,5,5,0,2
gp_event_exp_200,gp,event,exp,0,200,The head librarian arranged a new weekly meeting.,25,8,8,0,3
gp_state_exp_200,gp,state,exp,0,200,The head librarian belonged to a union committee.,69,8,8,0,3
gp_event_fill_200,gp,event,fill,4,200,The head librarian sunshine a new weekly meeting.,,,,,
gp_event_exp_201,gp,event,exp,0,201,The chief resident accused the nurse of being inefficient.,26,9,9,0,3
gp_state_exp_201,gp,state,exp,0,201,The chief resident regarded the nurse as a dear friend.,70,10,10,0,3
gp_state_fill_201,gp,state,fill,6,201,The chief resident regarded the eaten as a dear friend.,,,,,
gp_event_exp_202,gp,event,exp,0,202,The young detective inspected the crime scene.,27,7,7,0,3
gp_state_exp_202,gp,state,exp,0,202,The young detective disliked his senior partner.,71,7,7,0,3
gp_event_fill_202,gp,event,fill,5,202,The young detective inspected deal crime scene.,,,,,
